País,Estado/Región,"C.P./Código Postal","Subtotal del Pedido (y superior)","Precio del envío"
MEX,*,16050,0.0000,2922.0000
MEX,*,16057,0.0000,2922.0000
MEX,*,16058,0.0000,2922.0000
MEX,*,16059,0.0000,2922.0000
MEX,*,16060,0.0000,2922.0000
MEX,*,16070,0.0000,2922.0000
MEX,*,16080,0.0000,2922.0000
MEX,*,16090,0.0000,2922.0000
MEX,*,16095,0.0000,2922.0000
MEX,*,16098,0.0000,2922.0000
MEX,*,16099,0.0000,2922.0000
MEX,*,1610,1.0000,2922.0000
MEX,*,16100,1.0000,2922.0000
MEX,*,16105,1.0000,2922.0000
MEX,*,1618,1.0000,2922.0000
MEX,*,1619,1.0000,2922.0000
MEX,*,1620,1.0000,2922.0000
MEX,*,16200,2.0000,2922.0000
MEX,*,16210,2.0000,2922.0000
MEX,*,16220,2.0000,2922.0000
MEX,*,16240,2.0000,2922.0000
MEX,*,16244,2.0000,2922.0000
MEX,*,16247,2.0000,2922.0000
MEX,*,16248,2.0000,2922.0000
MEX,*,1630,1.0000,2922.0000
MEX,*,16300,3.0000,2922.0000
MEX,*,16310,3.0000,2922.0000
MEX,*,16320,3.0000,2922.0000
MEX,*,16330,3.0000,2922.0000
MEX,*,16340,3.0000,2922.0000
MEX,*,1640,1.0000,2922.0000
MEX,*,16400,4.0000,2922.0000
MEX,*,16410,4.0000,2922.0000
MEX,*,16420,4.0000,2922.0000
MEX,*,16428,4.0000,2922.0000
MEX,*,16429,4.0000,2922.0000
MEX,*,16430,4.0000,2922.0000
MEX,*,16440,4.0000,2922.0000
MEX,*,16443,4.0000,2922.0000
MEX,*,1645,1.0000,2922.0000
MEX,*,16450,4.0000,2922.0000
MEX,*,16457,4.0000,2922.0000
MEX,*,16459,4.0000,2922.0000
MEX,*,1650,1.0000,2922.0000
MEX,*,16510,5.0000,2922.0000
MEX,*,16513,5.0000,2922.0000
MEX,*,16514,5.0000,2922.0000
MEX,*,16515,5.0000,2922.0000
MEX,*,16520,5.0000,2922.0000
MEX,*,16530,5.0000,2922.0000
MEX,*,16533,5.0000,2922.0000
