País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,01610,0.0000,399.0000
MEX,*,16100,0.0000,399.0000
MEX,*,16105,0.0000,399.0000
MEX,*,01618,0.0000,399.0000
MEX,*,01619,0.0000,399.0000
MEX,*,01620,0.0000,399.0000
MEX,*,16200,0.0000,399.0000
MEX,*,16210,0.0000,399.0000
MEX,*,16220,0.0000,399.0000
MEX,*,16240,0.0000,399.0000
MEX,*,16244,0.0000,399.0000
MEX,*,16247,0.0000,399.0000
MEX,*,16248,0.0000,399.0000
MEX,*,01630,0.0000,399.0000
MEX,*,16300,0.0000,399.0000
MEX,*,16310,0.0000,399.0000
MEX,*,16320,0.0000,399.0000
MEX,*,16330,0.0000,399.0000
MEX,*,16340,0.0000,399.0000
MEX,*,01640,0.0000,399.0000
MEX,*,16400,0.0000,399.0000
MEX,*,16410,0.0000,399.0000
MEX,*,16420,0.0000,399.0000
MEX,*,16428,0.0000,399.0000
MEX,*,16429,0.0000,399.0000
MEX,*,16430,0.0000,399.0000
MEX,*,16440,0.0000,399.0000
MEX,*,16443,0.0000,399.0000
MEX,*,01645,0.0000,399.0000
MEX,*,16450,0.0000,399.0000
MEX,*,16457,0.0000,399.0000
MEX,*,16459,0.0000,399.0000
MEX,*,01650,0.0000,399.0000
MEX,*,16510,0.0000,399.0000
MEX,*,16513,0.0000,399.0000
MEX,*,16514,0.0000,399.0000
MEX,*,16515,0.0000,399.0000
MEX,*,16520,0.0000,399.0000
MEX,*,16530,0.0000,399.0000
MEX,*,16533,0.0000,399.0000
MEX,*,16550,0.0000,399.0000
MEX,*,16600,0.0000,399.0000
MEX,*,16604,0.0000,399.0000
MEX,*,16605,0.0000,399.0000
MEX,*,16606,0.0000,399.0000
MEX,*,16607,0.0000,399.0000
MEX,*,16609,0.0000,399.0000
MEX,*,16610,0.0000,399.0000
MEX,*,16614,0.0000,399.0000
MEX,*,16615,0.0000,399.0000
MEX,*,16616,0.0000,399.0000
MEX,*,16617,0.0000,399.0000
MEX,*,16620,0.0000,399.0000
MEX,*,16629,0.0000,399.0000
MEX,*,16630,0.0000,399.0000
MEX,*,16640,0.0000,399.0000
MEX,*,16710,0.0000,399.0000
MEX,*,16720,0.0000,399.0000
MEX,*,16739,0.0000,399.0000
MEX,*,16740,0.0000,399.0000
MEX,*,16749,0.0000,399.0000
MEX,*,16750,0.0000,399.0000
MEX,*,16770,0.0000,399.0000
MEX,*,16776,0.0000,399.0000
MEX,*,16780,0.0000,399.0000
MEX,*,16797,0.0000,399.0000
